Feature,Importance
Volatility_10,0.036898915
EMA_26,0.030938692
High_20,0.030755358
EMA_50,0.030650951
Volume_SMA_10,0.027727501
EMA_12,0.026865922
VPT,0.025978433
Volume_MA_20,0.025959272
Daily_Range,0.025858872
BB_Width,0.025550632
Distance_to_High,0.02526072
MACD,0.024502434
RSI_14,0.024501111
SMA_Ratio_5_20,0.024293073
MACD_Signal,0.023945196
Volume_Ratio,0.023429789
Gap,0.023313073
Volume_Rate_Change,0.023078002
Stoch_K,0.022957835
Stoch_D,0.02251573
MACD_Histogram,0.022485662
Daily_Return,0.022160713
ROC_10,0.02181903
OBV,0.021752995
Price_to_SMA50,0.021400295
BB_Position,0.021020092
Consecutive_Days,0.020980708
SMA_50,0.020912481
BB_Lower,0.020541213
SMA_5,0.020518338
BB_Upper,0.020496309
SMA_20,0.020127365
ROC_5,0.020033887
Price_to_SMA20,0.019846587
Close_Position,0.019595413
ATR,0.01930235
ROC_20,0.019188294
Price_Range,0.019016145
Distance_to_Low,0.018822256
SMA_Ratio_20_50,0.018788816
Volatility_30,0.017494868
SMA_200,0.016853342
SMA_10,0.016449701
Low_20,0.015411665
BB_Middle,0.0
Volume_SMA_20,0.0
PVT,0.0
Up_Down,0.0
